LOCAL_AIRPORT_CODE,LOCAL_AIRPORT,AIRLINE_CODE,FLIGHT_NUMBER,FREQUENCY,ARRIVAL_DEPARTURE_FLAG,SOURCE_DESTINATION_CODE,SOURCE_DESTINATION,SCHED_TIME,TIME_ZONE,air_time,Economy,Business,X,train_number,Train Name,SEQ,Arrival time,departure_time,Distance,Source Station,Source Station Name,Dest Station Code,Dest station_name,DAY,SL,1A,2A,3A
AGR,AGRA,AI,406,136,1,VNS,LAL BAHADUR SHASTRI,1320,IST,194,2460,7750,x,504,PNBE-BTI FTR,2,12:30:00,12:40:00,207,PNBE,PATNA JN.,MGS,MUGHAL SARAI,136,170,580,650,970
AGR,AGRA,AI,406,136,2,HJR,LAL BAHADUR SHASTRI,1355,IST,201,4540,9060,x,504,PNBE-BTI FTR,3,10:00:00,10:00:00,1313,PNBE,PATNA JN.,BTI,BATHINDA JN,136,330,680,1060,1380
AGR,AGRA,AI,406,136,2,HJR,KHAJURAHO,1355,IST,251,4740,10210,x,506,PNBE-PTA FTR,2,18:10:00,18:15:00,207,PNBE,PATNA JN.,MGS,MUGHAL SARAI,1234567,100,610,700,1050
AGR,AGRA,AI,406,136,1,VNS,KHAJURAHO,1320,IST,252,4870,10590,x,506,PNBE-PTA FTR,3,15:45:00,15:45:00,1161,PNBE,PATNA JN.,PTA,PATIALA,1234567,300,820,1150,1330
AGX,AGATTI ISLAND,9I,505,1234567,1,COK,COCHIN,1125,IST,201,4720,10480,x,604,PNBE-ASR FTR,2,16:20:00,16:30:00,207,PNBE,PATNA JN.,MGS,MUGHAL SARAI,67,160,370,860,990
AGX,AGATTI ISLAND,9I,506,1234567,2,COK,COCHIN,1155,IST,224,3840,8270,x,604,PNBE-ASR FTR,3,16:00:00,16:00:00,1429,PNBE,PATNA JN.,ASR,AMRITSAR JN.,1234567,520,650,1160,1400
AJL,AIZAWAL,AI,712,1234,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1440,IST,80,1320,6270,x,1301,PUNE-MAJN WE,2,19:55:00,19:57:00,63,PUNE,PUNE JN.,LNL,LONAVLA,67,130,460,660,1030
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,82,1950,5010,x,1301,PUNE-MAJN WE,3,21:20:00,21:50:00,120,PUNE,PUNE JN.,PNVL,PANVEL,67,300,340,880,1090
AJL,AIZAWAL,AI,712,1234,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1440,IST,82,1760,7900,x,1301,PUNE-MAJN WE,4,23:30:00,23:35:00,197,PUNE,PUNE JN.,ROHA,ROHA,67,190,360,790,960
AJL,AIZAWAL,S2,4690,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1415,IST,86,1610,5710,x,1301,PUNE-MAJN WE,5,0:48:00,0:50:00,300,PUNE,PUNE JN.,KHED,KHED,67,230,520,680,970
AJL,AIZAWAL,AI,711,1234,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1405,IST,87,1370,6220,x,1301,PUNE-MAJN WE,6,1:10:00,1:12:00,330,PUNE,PUNE JN.,CHI,CHIPLUN,67,130,320,710,930
AJL,AIZAWAL,AI,715,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1150,IST,94,2150,7380,x,1301,PUNE-MAJN WE,7,2:25:00,2:30:00,405,PUNE,PUNE JN.,RN,RATNAGIRI,67,280,320,880,910
AJL,AIZAWAL,9W,2769,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1240,IST,98,1120,7130,x,1301,PUNE-MAJN WE,8,3:44:00,3:46:00,529,PUNE,PUNE JN.,KKW,KANKAVALI,67,170,460,790,980
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,100,1750,5070,x,1301,PUNE-MAJN WE,9,4:08:00,4:10:00,557,PUNE,PUNE JN.,KUDL,KUDAL,67,280,550,760,900
