LOCAL_AIRPORT_CODE,LOCAL_AIRPORT,AIRLINE_CODE,FLIGHT_NUMBER,FREQUENCY,ARRIVAL_DEPARTURE_FLAG,SOURCE_DESTINATION_CODE,SOURCE_DESTINATION,SCHED_TIME,TIME_ZONE,air_time,Economy,Business
AGR,AGRA,AI,406,136,1,VNS,LAL BAHADUR SHASTRI,1320,IST,194,2460,7750
AGR,AGRA,AI,406,136,2,HJR,LAL BAHADUR SHASTRI,1355,IST,201,4540,9060
AGR,AGRA,AI,406,136,2,HJR,KHAJURAHO,1355,IST,251,4740,10210
AGR,AGRA,AI,406,136,1,VNS,KHAJURAHO,1320,IST,252,4870,10590
AGX,AGATTI ISLAND,9I,505,1234567,1,COK,COCHIN,1125,IST,201,4720,10480
AGX,AGATTI ISLAND,9I,506,1234567,2,COK,COCHIN,1155,IST,224,3840,8270
AJL,AIZAWAL,AI,712,1234,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1440,IST,80,1320,6270
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,82,1950,5010
AJL,AIZAWAL,AI,712,1234,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1440,IST,82,1760,7900
AJL,AIZAWAL,S2,4690,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1415,IST,86,1610,5710
AJL,AIZAWAL,AI,711,1234,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1405,IST,87,1370,6220
AJL,AIZAWAL,AI,715,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1150,IST,94,2150,7380
AJL,AIZAWAL,9W,2769,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1240,IST,98,1120,7130
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,100,1750,5070
AJL,AIZAWAL,AI,711,6,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,101,1530,5100
AJL,AIZAWAL,AI,715,5,1,IMF,NETAJI SUBHAS CHANDRA BOSE,1355,IST,105,2760,6710
AJL,AIZAWAL,SG,3281,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1230,IST,106,1110,5650
AJL,AIZAWAL,9W,2672,1234567,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1200,IST,108,2550,5050
AJL,AIZAWAL,S2,4690,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1415,IST,113,2570,7860
AJL,AIZAWAL,AI,712,6,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,115,2690,7400
AJL,AIZAWAL,9W,624,1234567,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1200,IST,120,1600,7000
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,122,1420,6600
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,122,2110,5440
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,124,1940,7590
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,125,2280,5490
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,125,1960,5370
AJL,AIZAWAL,AI,3209,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1435,IST,125,2440,6350
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,125,1930,7810
AJL,AIZAWAL,AI,712,6,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1505,IST,127,1640,7510
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,129,2760,7380
AJL,AIZAWAL,9W,9807,67,1,CCU,LOKPRIYA GOPINATH BORDOLOI,1140,IST,130,1360,5800
AJL,AIZAWAL,9W,9808,67,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1210,IST,130,2740,7250
AJL,AIZAWAL,SG,3282,1234567,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1515,IST,130,1090,7580
AJL,AIZAWAL,AI,711,6,1,CCU,IMPHAL,1420,IST,131,2510,7700
AJL,AIZAWAL,AI,715,5,1,IMF,IMPHAL,1355,IST,132,2680,7100
AJL,AIZAWAL,AI,3210,1,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,133,1510,6730
